0.83,0.85,0.85,0.64,0.85,0.85
1,1,1,1,1,1
1,1,1,1,1,1
0.75,0.73,0.74,0.5,0.8,0.8
0.83,0.86,0.87,0.84,0.87,0.87
0.84,0.86,0.74,0.56,0.77,0.74
1,1,1,1,1,1
0.86,0.78,0.81,0.4,0.79,0.79
0.82,0.76,0.78,0.83,0.78,0.78
0.84,0.84,0.85,0.63,0.62,0.64
0.63,0.65,0.62,0.47,0.51,0.62
0.9,0.94,0.94,0.94,0.94,0.94
0.91,0.93,0.93,0.93,0.93,0.93
0.84,0.86,0.78,0.53,0.82,0.82
0.92,0.93,0.94,0.94,0.94,0.94
1,1,1,1,1,1
0.98,0.96,0.98,0.98,0.98,0.98
0.9,0.91,0.89,0.89,0.89,0.89
0.91,0.89,0.95,0.95,0.95,0.95
0.92,0.91,0.9,0.69,0.9,0.9
0.85,0.85,0.86,0.68,0.85,0.85
0.67,0.69,0.62,0.54,0.68,0.68
0.86,0.89,0.89,0.89,0.89,0.89
0.83,0.84,0.61,0.53,0.83,0.83
0.85,0.79,0.87,0.53,0.84,0.84
0.83,0.8,0.81,0.84,0.78,0.78
0.76,0.74,0.62,0.63,0.77,0.77
1,1,1,1,1,1
0.81,0.83,0.83,0.73,0.85,0.85
0.82,0.86,0.75,0.76,0.8,0.8
0.92,0.9,0.93,0.93,0.93,0.93
0.9,0.86,0.84,0.77,0.79,0.79
0.96,0.96,0.97,0.97,0.97,0.97
0.96,0.96,0.96,0.96,0.96,0.96
0.76,0.77,0.76,0.68,0.77,0.77
0.9,0.94,0.96,0.96,0.96,0.96
0.83,0.83,0.74,0.53,0.86,0.86
0.89,0.9,0.9,0.92,0.92,0.92
0.68,0.61,0.68,0.45,0.61,0.7
0.9,0.89,0.91,0.91,0.91,0.91
0.88,0.82,0.75,0.84,0.84,0.84
0.85,0.87,0.86,0.84,0.75,0.73
0.86,0.82,0.78,0.48,0.85,0.85
0.83,0.78,0.78,0.64,0.78,0.78
0.88,0.86,0.87,0.87,0.87,0.87
0.89,0.89,0.89,0.85,0.89,0.89
0.91,0.91,0.88,0.93,0.93,0.93
0.8,0.83,0.74,0.77,0.82,0.82
0.73,0.71,0.64,0.66,0.74,0.74
0.97,0.97,0.97,0.97,0.97,0.97
0.96,0.96,0.98,0.98,0.98,0.98
0.56,0.57,0.47,0.25,0.47,0.51
0.87,0.79,0.67,0.54,0.77,0.77
0.92,0.94,0.95,0.95,0.95,0.95
0.96,0.96,0.97,0.97,0.97,0.97
0.81,0.81,0.71,0.54,0.78,0.78
0.87,0.76,0.87,0.48,0.75,0.72
0.73,0.71,0.69,0.45,0.69,0.65
0.97,0.96,0.96,0.96,0.96,0.96
0.94,0.94,0.95,0.95,0.95,0.95
0.92,0.92,0.92,0.92,0.92,0.92
0.85,0.84,0.77,0.59,0.87,0.87
0.89,0.87,0.88,0.9,0.9,0.9
0.81,0.79,0.67,0.55,0.81,0.81
0.9,0.9,0.88,0.63,0.85,0.85
0.84,0.84,0.87,0.81,0.87,0.87
0.8,0.82,0.72,0.75,0.81,0.81
0.84,0.79,0.7,0.5,0.82,0.82
0.65,0.62,0.68,0.59,0.56,0.51
0.78,0.79,0.72,0.71,0.78,0.78
