1,NA,NA,NA,2,1,NA,NA,1,5,NA,4,3,NA,NA,NA,2,NA
1,4,NA,NA,NA,NA,3,NA,NA,NA,1,5,1,NA,5,NA,NA,946
1,3,2,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,NA
1,NA,NA,1,NA,NA,NA,NA,3,4,2,NA,1,4,NA,NA,2,NA
1,3,1,NA,2,NA,2,4,NA,NA,NA,NA,3,NA,NA,NA,NA,1717
1,NA,NA,NA,NA,2,2,NA,NA,4,NA,4,NA,4,2,2,NA,NA
1,NA,2,1,NA,NA,NA,2,NA,2,5,NA,NA,4,3,NA,NA,NA
1,NA,2,2,2,NA,NA,3,NA,NA,NA,NA,1,4,NA,1,NA,NA
1,NA,1,NA,1,NA,3,NA,NA,NA,4,NA,2,NA,1,NA,2,NA
1,3,NA,2,NA,NA,3,NA,2,NA,5,5,NA,NA,NA,2,NA,NA
1,4,NA,2,NA,NA,NA,NA,NA,5,NA,NA,3,2,2,NA,NA,1414
1,NA,1,NA,1,1,NA,NA,NA,NA,3,NA,3,1,NA,NA,1,NA
1,NA,NA,1,NA,NA,NA,NA,1,4,NA,4,NA,3,NA,1,NA,590
1,3,1,1,1,NA,4,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA
1,2,2,NA,1,NA,1,NA,3,5,NA,NA,NA,2,NA,NA,NA,NA
1,NA,NA,NA,1,1,NA,3,NA,2,NA,NA,2,NA,2,NA,NA,1977
1,4,1,NA,NA,NA,4,NA,3,NA,1,NA,NA,3,NA,NA,NA,1644
1,4,NA,NA,NA,1,5,NA,NA,5,NA,NA,4,NA,NA,NA,2,1993
1,NA,NA,3,NA,NA,3,3,1,5,NA,NA,NA,NA,NA,NA,1,1763
1,NA,NA,NA,NA,2,5,3,2,NA,NA,NA,4,2,NA,NA,1,NA
1,2,2,3,NA,NA,5,4,NA,NA,NA,NA,3,NA,4,NA,NA,NA
