"Closeness to parks","Amount of traffic","Closeness to cafes/restaurants","Washer/dryer in unit","Size of yard","Closeness to public transportation","Amount of natural light","Quality of heat/AC system","Year building was built","Reputation of closest school","Noise pollution","Size of home"
3,4,4,2,500,5,4,5,1950,4,5,600
2,4,3,1,150,4,4,4,1950,3,5,1400
5,4,4,1,550,5,4,4,1971,4,2,1100
3,4,2,1,450,4,3,1,1974,4,1,1100
1,4,1,1,350,4,3,5,2013,4,4,700
5,4,1,2,150,3,4,1,1970,5,3,1400
2,1,1,1,50,4,1,1,2012,2,4,1300
2,4,5,1,300,3,4,3,2006,1,3,1100
4,4,3,2,150,3,4,3,2016,3,2,1300
5,4,1,1,250,4,1,5,1953,3,2,800
4,1,1,2,150,1,4,3,1961,5,4,900
3,1,2,2,150,5,2,4,1961,4,1,600
3,1,2,1,100,4,2,2,1965,4,5,800
2,2,4,1,0,2,4,1,2003,5,5,700
2,4,1,1,450,5,2,5,1990,5,1,1400
5,1,5,1,600,4,4,4,2013,1,3,1500
4,1,2,2,600,1,1,1,1990,4,5,1100
1,4,1,2,450,1,4,2,1958,2,4,1000
1,3,3,1,150,4,4,1,2003,2,4,900
5,1,2,2,300,2,1,5,2000,2,1,900
2,4,2,1,400,4,1,4,1986,4,5,1500
1,4,2,2,550,1,3,2,1962,2,5,1400
1,1,5,2,250,1,4,5,1962,3,3,1200
1,1,5,1,100,1,4,2,1969,2,1,1100
4,3,5,1,550,2,1,4,1985,2,5,700
4,4,2,1,300,1,4,3,2010,2,5,1600
2,4,5,2,250,4,3,3,1990,1,5,600
1,1,3,1,450,4,4,4,1950,4,4,700
2,1,2,1,0,3,1,5,1987,2,5,1600
1,2,5,2,50,1,1,5,1961,5,1,1600
5,3,4,1,500,1,4,2,1983,5,1,600
1,2,1,1,400,5,2,1,1959,4,1,1200
1,3,1,1,350,2,4,2,1954,5,2,1300
4,4,2,2,400,1,2,4,1993,1,5,700
5,1,2,1,550,4,3,4,1970,5,5,900
1,1,3,1,350,5,4,3,2010,5,2,1100
5,2,5,1,600,4,4,1,1987,3,1,600
1,4,4,2,50,4,4,1,2018,5,1,800
4,4,4,1,150,4,4,4,1974,5,5,1500
4,4,5,1,500,2,4,5,2014,4,2,800
1,4,4,2,50,2,1,5,1952,5,2,1800
4,1,5,1,550,1,4,3,2012,4,4,1500
5,4,2,1,450,5,2,5,2016,5,4,600
1,1,5,2,350,3,4,1,1971,4,1,700
3,4,3,1,450,4,4,4,1984,5,1,700
1,1,1,1,0,5,4,1,1999,3,2,800
3,4,1,2,200,2,2,4,1964,2,5,1600
2,1,5,1,150,2,4,3,1969,1,4,700
5,1,1,2,100,5,2,4,1993,1,5,1500
1,3,2,1,300,1,4,3,1960,1,4,700
4,1,4,1,450,1,4,5,2006,1,4,1400
5,1,1,2,450,3,1,2,2018,1,2,1300
3,1,1,1,600,1,4,1,2016,1,5,900
3,2,1,2,150,3,1,1,1980,4,3,1700
5,1,4,1,50,5,1,3,2018,2,4,1200
5,1,4,1,500,5,1,5,2013,4,5,1200
1,4,1,2,450,5,3,3,1981,2,2,1700
4,4,3,2,450,1,4,1,1983,4,1,1000
2,2,1,2,400,5,3,1,1965,3,5,1800
5,3,5,1,450,5,4,2,1959,2,5,1700
2,4,1,2,0,4,4,4,2007,2,5,1700
1,1,4,2,50,1,1,2,1956,5,5,1600
4,1,5,2,50,2,4,2,2011,1,1,1000
3,3,4,1,0,4,4,5,1980,2,1,1500
4,4,3,1,50,2,3,5,1958,4,5,1700
1,4,5,2,300,5,1,3,1951,1,2,1200
1,3,4,1,500,3,3,2,1986,1,4,1800
4,4,5,2,0,2,1,2,2013,1,2,1100
1,4,2,1,500,3,1,5,1968,3,4,1600
5,1,5,2,500,2,4,1,2002,5,2,900
5,1,1,1,0,5,2,5,1954,4,3,700
4,1,5,1,450,1,4,2,2014,3,5,1400
2,4,2,2,600,3,3,3,1961,2,1,1000
5,2,3,2,0,1,4,2,2019,5,5,600
1,3,4,1,300,1,4,5,1989,4,3,1700
2,4,1,2,150,5,3,5,1956,1,4,600
5,1,5,1,550,4,1,1,2012,2,4,1300
4,2,1,2,250,1,1,3,2006,4,2,1100
5,1,1,1,100,5,4,5,1982,5,3,700
1,1,1,1,200,3,4,5,2016,3,1,700
2,4,2,2,400,4,1,2,1950,1,5,1700
2,4,5,2,300,1,1,3,2006,3,2,1400
2,4,3,2,500,1,1,1,1963,1,4,800
2,2,5,1,50,1,2,5,2009,5,3,1200
2,4,1,2,200,5,4,1,1991,3,2,1300
