0.72,0.76,0.74,0.43,0.77,0.77
0.94,0.93,0.95,0.95,0.95,0.95
0.99,0.99,0.99,0.99,0.99,0.99
0.42,0.43,0.08,0.02,0.45,0.49
0.82,0.85,0.81,0.87,0.81,0.81
0.86,0.81,0.86,0.49,0.85,0.85
0.9,0.9,0.92,0.92,0.92,0.92
0.7,0.766666666666667,0.733333333333333,0.422222222222222,0.788888888888889,0.788888888888889
0.81,0.82,0.77,0.51,0.82,0.82
0.41,0.49,0.1,0.01,0.43,0.46
0.91,0.9,0.93,0.93,0.93,0.93
0.9,0.89,0.76,0.54,0.87,0.87
1,1,1,1,1,1
0.78,0.77,0.75,0.63,0.59,0.59
0.97,0.96,0.98,0.98,0.98,0.98
0.82,0.77,0.81,0.55,0.84,0.84
0.9,0.91,0.91,0.91,0.91,0.91
0.78,0.77,0.73,0.44,0.72,0.7
0.94,0.93,0.95,0.95,0.95,0.95
0.54,0.5,0.51,0.1,0.62,0.58
0.86,0.88,0.85,0.89,0.81,0.81
0.96,0.97,0.98,0.98,0.98,0.98
0.77,0.76,0.72,0.6,0.71,0.71
0.88,0.85,0.85,0.82,0.81,0.81
0.7,0.66,0.66,0.68,0.7,0.7
0.69,0.65,0.71,0.44,0.62,0.58
0.4,0.5,0.03,0.03,0.38,0.46
0.91,0.88,0.91,0.91,0.91,0.91
0.92,0.89,0.93,0.93,0.93,0.93
1,1,1,1,1,1
0.8,0.77,0.74,0.6,0.74,0.74
0.81,0.79,0.74,0.48,0.84,0.84
0.91,0.88,0.9,0.9,0.9,0.9
0.9,0.86,0.91,0.91,0.91,0.91
0.78,0.73,0.74,0.68,0.78,0.78
0.85,0.85,0.69,0.65,0.84,0.84
0.84,0.84,0.87,0.74,0.71,0.65
0.95,0.95,0.96,0.96,0.96,0.96
0.93,0.92,0.96,0.96,0.96,0.96
0.84,0.88,0.89,0.55,0.89,0.89
0.85,0.79,0.88,0.58,0.73,0.68
0.83,0.77,0.8,0.59,0.69,0.69
0.93,0.92,0.89,0.93,0.93,0.93
0.79,0.79,0.74,0.53,0.74,0.79
0.55,0.6,0.26,0.19,0.63,0.63
0.88,0.88,0.88,0.88,0.88,0.88
0.86,0.91,0.91,0.91,0.91,0.91
