1,10,3,5,1,80,4,4
1,55,4,4,3,40,3,1
1,10,2,7,1,80,5,4
1,40,4,7,4,60,2,1
1,45,3,9,1,70,4,4
1,35,4,8,4,80,3,5
1,5,4,10,2,40,5,2
1,5,2,3,3,50,3,5
1,30,4,5,1,60,1,5
1,60,4,11,4,80,1,5
1,30,2,6,4,40,3,2
1,5,2,3,1,70,2,2
1,25,4,5,3,40,2,4
1,25,4,6,1,40,3,4
1,40,1,9,4,90,4,1
1,25,3,4,2,90,1,4
1,10,2,11,3,40,3,3
1,5,3,7,1,40,3,4
1,50,3,10,4,80,3,2
1,5,1,3,1,80,1,2
1,55,1,11,2,70,5,5
1,35,4,9,1,30,3,2
1,10,3,3,3,40,3,1
1,35,3,4,2,90,5,5
1,25,3,4,2,90,3,4
1,15,3,8,4,50,5,5
1,45,2,4,2,60,4,2
1,30,1,7,4,50,1,5
1,30,3,10,4,90,5,4
1,20,3,6,4,70,5,3
1,25,2,7,1,70,4,4
1,20,1,7,3,40,3,4
1,5,1,10,1,90,3,5
1,45,1,9,1,60,2,3
1,30,1,6,2,70,1,1
1,50,1,3,2,60,4,5
1,30,3,5,3,40,5,5
1,25,1,10,1,30,5,4
1,60,3,11,3,90,2,2
1,5,4,7,3,90,1,5
1,40,4,7,1,40,4,1
1,15,4,7,2,40,5,4
1,55,4,9,2,70,4,5
1,55,2,3,2,50,3,1
1,15,4,6,1,50,3,3
1,10,3,3,2,80,4,2
1,30,3,11,1,60,4,1
1,10,1,7,4,60,5,2
1,60,1,6,1,80,1,2
1,60,1,10,1,60,2,5
1,20,3,4,1,90,2,4
1,40,2,9,3,70,3,1
1,5,4,9,4,90,2,2
1,10,1,8,1,70,4,4
1,10,2,3,2,70,2,2
1,50,2,8,3,50,3,3
1,20,1,8,2,70,5,4
1,35,3,11,4,50,2,1
1,40,4,6,1,40,3,1
1,45,1,10,1,30,5,5
1,25,2,4,1,90,3,2
1,60,3,4,3,50,1,3
1,35,1,7,1,80,4,2
1,20,4,11,3,70,1,5
1,20,3,3,2,60,4,3
1,15,3,9,3,50,5,1
1,55,4,8,3,50,2,4
1,25,2,10,3,70,3,4
1,45,3,6,2,60,3,3
1,45,1,6,3,50,1,3
1,45,1,4,2,70,3,5
1,30,4,11,3,80,2,5
1,25,4,11,2,90,2,5
1,50,2,7,1,40,1,3
1,30,3,10,3,70,5,5
1,5,4,11,3,90,3,5
1,30,2,7,1,50,2,1
1,55,1,3,1,30,5,5
1,40,3,9,1,90,2,5
