subject,version,assignmentId,trial,practice,opt1_id,opt2_id,attributes,opt1_values,opt2_values,choice,orig_choice,rt,stamp,id
60fd6ed24d3d9325c1a4ccb0,ma_choice_v4_movies_pilot2,60fd6ed24d3d9325c1a4ccb0,0,1,-1,-1,"Drama,Science Fiction,Funny,Romantic,Suspense,Art,Fantasy World,Action,Violent","73,24,16,3,62,79,34,66,68","11,47,56,39,18,14,61,18,13",1,,12899,2022-06-24 12:56:42,150581
60fd6ed24d3d9325c1a4ccb0,ma_choice_v4_movies_pilot2,60fd6ed24d3d9325c1a4ccb0,1,1,-1,-1,"Suspense,Violent,Funny,Action,Drama,Art,Fantasy World,Romantic,Science Fiction","19,39,1,6,80,65,34,0,17","90,3,30,79,22,13,65,25,87",1,,12392,2022-06-24 12:56:55,150582
60fd6ed24d3d9325c1a4ccb0,ma_choice_v4_movies_pilot2,60fd6ed24d3d9325c1a4ccb0,2,1,-1,-1,"Violent,Science Fiction,Funny,Art,Action,Fantasy World,Romantic,Drama,Suspense","3,51,80,8,27,55,35,12,12","26,22,1,74,3,34,9,84,48",0,,8164,2022-06-24 12:57:05,150583
60fd6ed24d3d9325c1a4ccb0,ma_choice_v4_movies_pilot2,60fd6ed24d3d9325c1a4ccb0,3,1,-1,-1,"Action,Funny,Suspense,Violent,Fantasy World,Romantic,Science Fiction,Drama,Art","83,47,78,78,54,21,47,61,69","20,3,2,1,31,99,15,21,11",0,,12309,2022-06-24 12:57:18,150584
60fd6ed24d3d9325c1a4ccb0,ma_choice_v4_movies_pilot2,60fd6ed24d3d9325c1a4ccb0,4,1,-1,-1,"Violent,Suspense,Drama,Romantic,Art,Action,Science Fiction,Funny,Fantasy World","30,24,21,37,36,34,45,73,46","3,2,65,14,70,3,20,0,25",0,,7842,2022-06-24 12:57:27,150585
5bd47734506cd3000101d181,ma_choice_v4_movies_pilot2,5bd47734506cd3000101d181,0,1,-1,-1,"Drama,Art,Funny,Science Fiction,Suspense,Action,Violent,Romantic,Fantasy World","12,8,80,51,12,27,3,35,55","84,74,1,22,48,3,26,9,34",0,,11485,2022-06-24 12:57:29,150586
60fd6ed24d3d9325c1a4ccb0,ma_choice_v4_movies_pilot2,60fd6ed24d3d9325c1a4ccb0,5,1,-1,-1,"Art,Violent,Fantasy World,Drama,Suspense,Action,Science Fiction,Romantic,Funny","38,2,19,47,87,33,14,52,12","4,32,41,5,1,3,43,1,52",0,,10213,2022-06-24 12:57:38,150587
5bd47734506cd3000101d181,ma_choice_v4_movies_pilot2,5bd47734506cd3000101d181,1,1,-1,-1,"Science Fiction,Suspense,Romantic,Art,Action,Funny,Drama,Fantasy World,Violent","43,1,1,4,3,52,5,41,32","14,87,52,38,33,12,47,19,2",1,,10708,2022-06-24 12:57:41,150588
60fd6ed24d3d9325c1a4ccb0,ma_choice_v4_movies_pilot2,60fd6ed24d3d9325c1a4ccb0,6,1,-1,-1,"Drama,Violent,Action,Science Fiction,Suspense,Romantic,Funny,Art,Fantasy World","14,37,24,48,31,41,65,10,46","51,1,3,18,3,15,5,99,26",0,,10341,2022-06-24 12:57:49,150589
5bd47734506cd3000101d181,ma_choice_v4_movies_pilot2,5bd47734506cd3000101d181,2,1,-1,-1,"Funny,Suspense,Violent,Science Fiction,Art,Romantic,Drama,Fantasy World,Action","73,24,30,45,36,37,21,46,34","0,2,3,20,70,14,65,25,3",1,,8957,2022-06-24 12:57:51,150590
60fd6ed24d3d9325c1a4ccb0,ma_choice_v4_movies_pilot2,60fd6ed24d3d9325c1a4ccb0,7,1,-1,-1,"Violent,Romantic,Funny,Drama,Art,Fantasy World,Suspense,Action,Science Fiction","13,0,9,4,66,57,0,11,8","57,41,35,78,42,23,80,69,37",1,,8304,2022-06-24 12:57:59,150591
5bd47734506cd3000101d181,ma_choice_v4_movies_pilot2,5bd47734506cd3000101d181,3,1,-1,-1,"Fantasy World,Art,Suspense,Science Fiction,Action,Violent,Funny,Romantic,Drama","66,23,20,51,56,27,64,21,39","39,58,54,30,34,5,1,75,61",0,,9630,2022-06-24 12:58:01,150592
60fd6ed24d3d9325c1a4ccb0,ma_choice_v4_movies_pilot2,60fd6ed24d3d9325c1a4ccb0,8,1,-1,-1,"Romantic,Suspense,Action,Violent,Science Fiction,Drama,Art,Fantasy World,Funny","75,54,34,5,30,61,58,39,1","21,20,56,27,51,39,23,66,64",1,,8801,2022-06-24 12:58:09,150593
5bd47734506cd3000101d181,ma_choice_v4_movies_pilot2,5bd47734506cd3000101d181,4,1,-1,-1,"Violent,Drama,Science Fiction,Fantasy World,Romantic,Suspense,Funny,Action,Art","13,11,47,61,39,18,56,18,14","68,73,24,34,3,62,16,66,79",1,,10469,2022-06-24 12:58:13,150594
60fd6ed24d3d9325c1a4ccb0,ma_choice_v4_movies_pilot2,60fd6ed24d3d9325c1a4ccb0,9,1,-1,-1,"Science Fiction,Violent,Fantasy World,Funny,Romantic,Art,Suspense,Action,Drama","22,28,75,16,78,50,10,15,78","47,74,40,61,18,24,69,36,15",0,,8658,2022-06-24 12:58:18,150595
5bd47734506cd3000101d181,ma_choice_v4_movies_pilot2,5bd47734506cd3000101d181,5,1,-1,-1,"Romantic,Science Fiction,Violent,Suspense,Funny,Art,Drama,Fantasy World,Action","99,15,1,2,3,11,21,31,20","21,47,78,78,47,69,61,54,83",1,,10046,2022-06-24 12:58:24,150596
5bd47734506cd3000101d181,ma_choice_v4_movies_pilot2,5bd47734506cd3000101d181,6,1,-1,-1,"Suspense,Fantasy World,Violent,Romantic,Art,Action,Science Fiction,Drama,Funny","19,34,39,0,65,6,17,80,1","90,65,3,25,13,79,87,22,30",1,,13542,2022-06-24 12:58:38,150597
60fd6ed24d3d9325c1a4ccb0,ma_choice_v4_movies_pilot2,60fd6ed24d3d9325c1a4ccb0,0,0,-1,-1,"Funny,Science Fiction,Art,Suspense,Romantic,Violent,Fantasy World,Drama,Action","0,26,79,76,17,50,45,79,3","38,5,2,8,87,2,78,21,55",1,,8094,2022-06-24 12:58:46,150598
5bd47734506cd3000101d181,ma_choice_v4_movies_pilot2,5bd47734506cd3000101d181,7,1,-1,-1,"Violent,Art,Action,Romantic,Fantasy World,Drama,Funny,Suspense,Science Fiction","74,24,36,18,40,15,61,69,47","28,50,15,78,75,78,16,10,22",0,,7823,2022-06-24 12:58:47,150599
