subject,version,assignmentId,trial,practice,opt1_id,opt2_id,attributes,opt1_values,opt2_values,choice,orig_choice,rt,stamp,id
5aebb2f6aa05510001ff6561,ma_choice_v4_movies_pilot1,5aebb2f6aa05510001ff6561,0,1,-1,-1,"Science Fiction,Drama,Violent,Suspense,Action,Romantic,Art,Fantasy World,Funny","37%,78%,57%,80%,69%,41%,42%,23%,35%","8%,4%,13%,0%,11%,0%,66%,57%,9%",1,,8756,2022-06-23 15:10:36,146476
5aebb2f6aa05510001ff6561,ma_choice_v4_movies_pilot1,5aebb2f6aa05510001ff6561,1,1,-1,-1,"Drama,Suspense,Romantic,Action,Art,Science Fiction,Fantasy World,Violent,Funny","61%,78%,21%,83%,69%,47%,54%,78%,47%","21%,2%,100%,20%,11%,15%,31%,1%,3%",1,,12778,2022-06-23 15:10:50,146479
5aebb2f6aa05510001ff6561,ma_choice_v4_movies_pilot1,5aebb2f6aa05510001ff6561,2,1,-1,-1,"Fantasy World,Suspense,Romantic,Science Fiction,Violent,Action,Funny,Drama,Art","26%,3%,15%,18%,1%,3%,5%,51%,99%","46%,31%,41%,48%,37%,24%,65%,14%,10%",0,,12264,2022-06-23 15:11:03,146482
5aebb2f6aa05510001ff6561,ma_choice_v4_movies_pilot1,5aebb2f6aa05510001ff6561,3,1,-1,-1,"Suspense,Fantasy World,Art,Funny,Drama,Violent,Science Fiction,Action,Romantic","1%,41%,4%,52%,5%,32%,43%,3%,1%","87%,19%,38%,12%,47%,2%,14%,33%,52%",1,,30402,2022-06-23 15:11:34,146488
5aebb2f6aa05510001ff6561,ma_choice_v4_movies_pilot1,5aebb2f6aa05510001ff6561,4,1,-1,-1,"Fantasy World,Drama,Romantic,Art,Suspense,Violent,Funny,Science Fiction,Action","61%,11%,39%,14%,18%,13%,56%,47%,18%","34%,73%,3%,79%,62%,68%,16%,24%,66%",0,,9824,2022-06-23 15:11:45,146491
5aebb2f6aa05510001ff6561,ma_choice_v4_movies_pilot1,5aebb2f6aa05510001ff6561,5,1,-1,-1,"Funny,Drama,Romantic,Suspense,Science Fiction,Violent,Art,Action,Fantasy World","64%,39%,21%,20%,51%,27%,23%,56%,66%","1%,61%,75%,54%,30%,5%,58%,34%,39%",0,,88020,2022-06-23 15:13:14,146499
5aebb2f6aa05510001ff6561,ma_choice_v4_movies_pilot1,5aebb2f6aa05510001ff6561,6,1,-1,-1,"Romantic,Fantasy World,Science Fiction,Suspense,Action,Art,Violent,Funny,Drama","18%,40%,47%,69%,36%,24%,74%,61%,15%","78%,75%,22%,10%,15%,50%,28%,16%,78%",1,,93120,2022-06-23 15:14:48,146514
5aebb2f6aa05510001ff6561,ma_choice_v4_movies_pilot1,5aebb2f6aa05510001ff6561,7,1,-1,-1,"Suspense,Science Fiction,Funny,Romantic,Violent,Drama,Action,Art,Fantasy World","48%,22%,1%,9%,26%,84%,3%,74%,34%","12%,51%,80%,35%,3%,12%,27%,8%,55%",1,,18363,2022-06-23 15:15:08,146517
5aebb2f6aa05510001ff6561,ma_choice_v4_movies_pilot1,5aebb2f6aa05510001ff6561,8,1,-1,-1,"Suspense,Drama,Romantic,Funny,Art,Science Fiction,Fantasy World,Violent,Action","90%,22%,25%,30%,13%,87%,65%,3%,79%","19%,80%,0%,1%,65%,17%,34%,39%,6%",0,,32769,2022-06-23 15:15:41,146521
5aebb2f6aa05510001ff6561,ma_choice_v4_movies_pilot1,5aebb2f6aa05510001ff6561,9,1,-1,-1,"Science Fiction,Fantasy World,Funny,Drama,Suspense,Action,Romantic,Art,Violent","45%,46%,73%,21%,24%,34%,37%,36%,30%","20%,25%,0%,65%,2%,3%,14%,70%,3%",1,,18125,2022-06-23 15:16:01,146524
